year,population
1992,199664.0000
1993,206849.0000
1994,214237.5000
1995,221626.0000
1996,227251.0000
1997,232660.3636
1998,238069.7273
1999,243479.0909
2000,248888.4545
2001,254297.8182
2002,259707.1818
2003,265116.5455
2004,270525.9091
2005,275935.2727
2006,281344.6364
2007,286754.0000
2008,292394.0000
2009,297111.8000
2010,301829.6000
2011,306547.4000
2012,311265.2000
2013,315983.0000
2014,323556.6667
2015,331130.3333
2016,338704.0000
2017,343891.5000
2018,349079.0000
2019,354130.0000
2020,359181.0000
2021,365522.5000
2022,371864.0000
2023,378491.6667
2024,385119.3333
2025,391747.0000
2026,398374.6667
2027,405002.3333
2028,411630.0000
2029,417807.0000
2030,423984.0000
2031,430161.0000
2032,436208.0000
2033,442186.0000
2034,448062.5000
2035,453939.0000
